"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"2670","00419","华谊腾讯娱乐","0.231","-0.009","-3.75%","-0.86%","36.69%","18.46%","0.230","0.231","380.00万","1.00万","1.43亿","3293.19万","0.000%","0.000%","0.240","0.240","0.243","0.221","1.06","-0.43","9.17","亏损","亏损","3.850","0.55","11.20%","31.18亿","31.18亿","134.98亿","134.98亿","55.03%","44.38%","39.16%","65.00%","124.27%","消闲及文娱设施"
"2671","02255","海昌海洋公园","0.770","-0.030","-3.75%","-1.28%","87.80%","62.11%","0.770","0.780","7.10万","21.00万","1218.10万","959.18万","0.000%","0.000%","0.820","0.800","0.840","0.750","0.31","0.00","11.25","亏损","110.000","0.781","0.55","-31.17%","30.80亿","30.80亿","40亿","40亿","45.28%","42.59%","85.54%","22.22%","1.32%","消闲及文娱设施"
"2672","01327","励时集团","0.179","-0.007","-3.76%","0.00%","103.41%","19.33%","0.179","0.000","8.00万","0","25.80万","5.02万","0.000%","0.000%","0.200","0.186","0.200","0.177","0.06","0.00","12.37","亏损","亏损","0.189","0.53","100.00%","7423.49万","7423.49万","4.15亿","4.15亿","15.48%","19.33%","19.33%","19.33%","-33.70%","珠宝钟表"
"2673","08360","利骏集团香港","0.051","-0.002","-3.77%","0.00%","-26.09%","-12.07%","0.049","0.051","22.40万","18.00万","210.40万","10.70万","0.000%","0.000%","0.052","0.053","0.052","0.048","0.24","0.00","7.55","亏损","亏损","-","0.19","-2.04%","4530.84万","4530.84万","8.88亿","8.88亿","0.00%","0.00%","-29.17%","30.77%","64.52%","楼宇建造"
"2674","00366","陆氏集团(越南)","1.250","-0.050","-3.85%","0.00%","-3.10%","-2.34%","1.250","1.260","4000","1.00万","33.20万","41.58万","4.000%","7.200%","1.280","1.300","1.280","1.250","0.07","0.00","2.31","6.544","5.144","0.255","2.75","-26.40%","6.28亿","6.28亿","5.03亿","5.03亿","0.00%","-3.10%","-3.10%","4.17%","-14.97%","建筑材料"
"2675","08270","中国煤层气","0.025","-0.001","-3.85%","0.00%","0.00%","-10.71%","0.025","0.028","116.00万","24.00万","20.00万","5000","0.000%","0.000%","0.025","0.026","0.025","0.025","0.02","0.00","0.00","亏损","亏损","0.167","0.87","67.90%","3298.71万","3298.71万","13.19亿","13.19亿","-3.85%","0.00%","-13.79%","-10.71%","-41.86%","气油生产商"
"2676","01150","米兰站","0.250","-0.010","-3.85%","0.00%","119.30%","-1.96%","0.250","0.255","21.00万","2.00万","266.60万","67.08万","0.000%","0.000%","0.260","0.260","0.260","0.245","0.37","0.00","5.77","亏损","亏损","2.906","1.03","-86.49%","1.78亿","1.78亿","7.12亿","7.12亿","-10.71%","17.37%","25.00%","115.52%","66.67%","其他服饰配件"
"2677","08027","吉辉控股","0.174","-0.007","-3.87%","-13.00%","-8.42%","35.94%","0.173","0.190","4.00万","5000","20.48万","4.08万","0.000%","0.000%","0.181","0.181","0.206","0.174","0.16","8.42","17.68","亏损","亏损","0.321","3.23","95.92%","2227.20万","2227.20万","1.28亿","1.28亿","16.00%","-27.20%","34.88%","-27.50%","-81.19%","其他支援服务"
"2678","08545","佰悦集团","0.099","-0.004","-3.88%","0.00%","-61.92%","-60.40%","0.096","0.099","6.40万","2.40万","221.60万","21.68万","0.000%","0.000%","0.101","0.103","0.101","0.096","0.22","0.00","4.85","7.071","14.142","0.559","0.49","-21.89%","9900.00万","9900.00万","10亿","10亿","-10.81%","-37.34%","-56.77%","2.06%","16.47%","玩具及消闲用品"
"2679","00592","堡狮龙","0.370","-0.015","-3.90%","-1.33%","-27.45%","-18.68%","0.365","0.370","185.20万","11.40万","1991.81万","737.82万","3.240%","0.000%","0.385","0.385","0.385","0.365","1.21","0.00","5.20","亏损","亏损","2.163","1.36","36.20%","6.08亿","6.08亿","16.44亿","16.44亿","-22.11%","-27.45%","-33.93%","-25.25%","92.71%","服装"
"2680","00827","玖源集团","0.074","-0.003","-3.90%","0.00%","5.71%","-1.33%","0.072","0.074","13.20万","1.20万","220.80万","15.93万","0.000%","0.000%","0.072","0.077","0.074","0.072","0.04","0.00","2.60","亏损","亏损","2.846","0.40","13.32%","4.06亿","4.06亿","54.88亿","54.88亿","-5.13%","-6.33%","-10.84%","-5.13%","-50.99%","化肥及农用化合物"
